title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m
1103 4,388,102,102,102,1511,1511,19,87,602,0,697,697,697
1103 5,473,182,182,114,1530,1478,188,184,441,203,550,550,550
1103 6,586,339,339,72,1681,1327,38,337,286,190,651,651,651
1103 7,564,296,296,238,1698,1492,73,279,490,52,833,833,833
1103 8,621,330,330,158,1723,1416,101,317,395,0,784,784,784
1103 9,538,232,232,186,1621,1486,109,220,449,54,699,699,699
1103 10,480,201,201,201,1608,1557,34,185,528,0,750,750,750
1103 11,500,257,257,133,1593,1391,102,265,359,233,566,566,566
1103 12,681,402,402,117,1801,1370,55,387,382,14,799,799,799
80 1,379,215,215,37,962,962,305,480,502,217,650,557,336
80 2,559,399,332,35,1192,1192,346,174,433,155,628,615,348
80 3,584,184,184,9,963,963,360,411,571,392,751,715,488
80 4,318,154,154,19,893,893,274,574,569,163,697,453,305
80 5,379,379,379,24,1280,1280,171,145,257,122,451,436,173
80 6,540,108,108,22,880,880,423,508,621,376,789,621,501
80 7,469,464,359,42,1246,1246,256,149,343,129,538,525,258
80 8,412,404,404,7,1173,1173,248,250,333,227,517,495,250
80 9,376,76,76,24,811,811,366,628,651,254,788,447,396
80 10,572,316,316,20,1104,1104,356,266,475,247,666,648,391
80 11,376,336,336,19,1095,1095,273,345,378,275,542,515,282
80 12,745,183,173,15,993,993,187,321,655,304,848,830,571
1104 1,360,110,110,44,1474,1474,63,91,714,129,847,847,747
1104 2,417,82,82,21,1506,1506,213,72,1022,3,1218,1218,465
1104 3,461,210,210,79,1551,1551,2,190,699,205,937,937,741
1104 4,548,297,297,163,1655,1560,15,278,603,172,935,935,837
1104 5,584,322,322,47,1642,1617,0,305,711,120,980,980,744
1104 6,613,362,362,127,1698,1543,71,343,631,138,913,913,824
1104 7,190,16,16,16,1303,1303,129,54,852,74,814,814,670
1104 8,315,28,28,28,1350,1350,9,12,882,225,957,957,577
1104 9,569,259,259,23,1619,1619,119,245,844,23,1048,1048,640
1104 10,140,64,64,38,1172,1172,123,128,1103,309,1091,1091,374
1104 11,380,119,119,119,1515,1515,25,102,645,56,780,780,780
1104 12,203,26,26,16,1249,1249,59,81,1082,235,1138,1138,367
81 1,127,127,127,75,480,480,153,1065,197,502,792,0,0
81 2,394,380,380,123,336,336,336,1121,449,517,543,180,180
81 3,399,50,50,38,655,655,413,777,579,361,789,351,351
81 4,284,246,246,33,483,483,306,1003,372,474,697,127,127
81 5,366,253,253,26,461,461,388,996,451,506,639,205,205
81 6,308,308,308,105,399,399,332,1087,367,558,632,109,109
81 7,548,314,314,18,396,396,396,995,627,503,520,371,371
81 8,267,18,18,9,703,703,283,776,484,265,871,278,278
81 9,485,72,72,10,651,651,496,751,664,421,767,429,429
81 10,126,126,126,19,572,572,150,965,255,402,842,46,46
81 11,463,230,230,16,475,475,475,942,564,525,612,319,319
81 12,558,416,416,28,290,290,290,1106,614,409,430,345,345
104 1,490,161,161,103,2175,2175,272,72,428,630,686,686,136
104 2,598,112,112,43,2139,2139,302,18,578,668,790,790,260
104 3,327,117,117,19,2109,2109,108,27,312,667,700,700,11
104 4,423,378,378,57,2399,2399,371,286,511,411,549,549,268
104 5,416,179,179,24,2183,2183,194,92,348,606,646,646,94
104 6,335,283,283,73,2273,2273,105,192,231,502,534,534,0
104 7,669,187,187,18,2226,2226,204,97,675,593,796,796,392
104 8,301,301,301,11,2441,2441,178,351,329,346,394,394,158
104 9,413,341,341,31,2354,2354,287,253,400,450,521,521,173
104 10,638,22,22,8,2065,2065,184,39,709,683,712,712,372
104 11,545,224,224,63,2242,2242,330,133,472,572,655,655,224
104 12,235,57,57,17,2038,2038,40,13,308,730,763,763,27
105 1,505,368,368,84,2453,2453,198,352,670,350,650,650,367
105 2,293,136,136,21,2676,2676,298,553,446,131,448,448,185
105 3,457,102,102,30,2722,2722,162,660,581,79,610,610,350
105 4,483,238,238,28,2584,2584,140,515,630,217,638,638,374
105 5,379,2,2,2,2820,2820,110,732,486,0,526,526,267
105 6,93,8,8,8,2754,2754,246,654,246,50,248,248,0
105 7,221,219,219,56,2528,2528,187,436,394,264,331,331,94
105 8,210,122,122,21,2951,2951,179,844,241,95,298,298,51
105 9,132,45,45,15,2863,2863,221,760,221,21,262,262,20
105 10,127,92,92,27,2664,2664,263,566,297,136,267,267,0
105 11,565,326,326,10,2497,2497,75,448,662,304,719,719,455
105 12,315,69,69,19,2939,2939,64,821,382,40,433,433,167
106 1,310,196,196,62,3042,3042,102,930,284,166,312,312,153
106 2,371,174,174,27,3043,3043,17,929,370,146,395,395,210
106 3,384,267,267,51,3122,3122,100,1008,309,238,314,314,231
106 4,804,199,199,9,3096,3096,217,1120,560,185,737,737,624
106 5,601,245,245,22,3310,3310,0,1210,471,413,312,312,312
106 6,886,175,175,20,3212,3212,160,1242,629,297,742,742,512
106 7,691,91,91,0,2983,2983,77,986,550,76,713,713,542
106 8,572,10,10,10,2824,2824,54,802,564,0,712,712,446
106 9,469,242,242,0,3113,3113,0,1018,429,216,408,408,308
106 10,316,97,97,10,2967,2967,74,847,371,68,412,412,162
106 11,394,46,46,28,2917,2917,12,829,468,20,512,512,252
106 12,741,178,178,21,3356,3356,0,1299,627,455,448,448,448
107 1,1265,238,238,17,2862,2862,113,1720,357,68,919,919,226
107 2,1158,150,150,74,2973,2973,226,1661,452,196,792,792,343
107 3,906,97,97,10,3221,3221,0,1396,714,418,625,625,489
107 4,1173,256,256,10,2907,2907,232,1777,384,207,820,820,269
107 5,811,94,94,26,3326,3326,0,1384,677,460,465,465,465
107 6,1091,149,149,36,3014,3014,186,1672,489,277,727,727,332
107 7,1198,143,143,6,2932,2932,148,1598,469,154,911,894,191
107 8,831,191,191,23,3296,3296,98,1290,761,388,616,616,548
107 9,1157,121,121,47,2971,2971,157,1600,476,169,843,843,260
107 10,1056,40,40,40,3072,3072,130,1552,557,273,722,722,382
107 11,893,78,78,22,3186,3186,18,1581,671,290,534,534,362
107 12,1303,258,258,9,2824,2824,59,1718,349,34,982,855,146
108 1,828,615,615,225,2594,2594,183,1418,312,20,963,963,10
108 2,798,721,498,342,2443,2443,104,1309,154,69,1162,1005,45
108 3,1165,376,376,135,2735,2735,28,1641,218,1,1019,908,224
108 4,709,699,525,236,2485,2485,113,1299,298,94,1051,1051,85
108 5,1131,353,353,29,2838,2838,225,1700,337,193,825,825,176
108 6,1140,370,370,104,2764,2764,86,1652,238,62,958,958,270
108 7,941,591,558,270,2547,2547,52,1430,52,7,1114,940,146
108 8,951,619,388,158,2478,2478,72,1399,72,136,1253,770,101
108 9,855,722,365,153,2374,2374,138,1296,138,120,1338,744,0
108 10,800,743,475,316,2392,2392,126,1276,126,1,1246,907,92
108 11,993,497,497,101,2686,2686,189,1548,218,129,943,943,109
108 12,1095,464,453,219,2636,2636,48,1554,138,76,1125,827,181
109 1,584,584,268,180,2222,2222,0,1080,44,22,1344,1032,10
109 2,504,504,269,77,2229,2229,26,1052,178,152,1301,1168,0
109 3,634,634,447,173,2406,2406,101,1218,256,130,1123,1123,56
109 4,414,414,85,3,2009,2009,65,884,213,1,1565,973,91
109 5,510,510,176,44,2076,2076,67,965,169,66,1534,881,76
109 6,726,726,406,314,2345,2345,84,1215,94,52,1255,975,30
109 7,637,637,399,198,2360,2360,40,1192,174,75,1185,1140,56
109 8,717,717,387,234,2277,2277,60,1175,137,0,1373,830,56
109 9,610,610,285,188,2215,2215,13,1089,15,29,1379,949,0
109 10,510,510,185,109,2120,2120,14,990,103,0,1456,979,0
109 11,427,427,110,54,2071,2071,10,922,186,96,1472,1083,0
109 12,605,605,266,113,2148,2148,7,1050,166,51,1494,811,89
110 1,4,4,4,4,1577,1577,144,447,648,332,1441,1169,471
110 2,6,6,6,6,1711,1711,49,488,665,495,1093,1093,462
110 3,48,48,48,19,1463,1463,211,334,762,344,1434,1233,584
110 4,97,97,25,5,1704,1704,38,566,527,230,1420,1144,343
110 5,115,115,50,0,1540,1540,16,348,765,353,1162,1162,562
110 6,174,174,148,20,1532,1532,100,305,829,312,1061,1061,624
110 7,6,6,6,6,1587,1587,52,433,662,375,1328,1268,468
110 8,177,177,20,20,1432,1432,88,267,831,278,1256,1256,634
110 9,9,9,9,9,1661,1661,84,461,664,455,1156,1156,459
110 10,136,136,115,0,1805,1805,88,636,475,278,1302,1240,272
110 11,110,110,30,8,1751,1751,16,597,501,245,1357,1193,304
110 12,252,252,53,20,1865,1865,30,728,364,108,1470,1071,184
111 1,386,338,42,42,1199,1199,136,32,1063,45,1262,1262,868
111 2,336,316,162,40,1169,1169,256,25,1068,35,1342,1342,882
111 3,373,373,104,0,1383,1383,167,121,778,130,944,944,648
111 4,240,240,129,86,1299,1299,210,151,941,162,1350,1350,753
111 5,554,416,17,15,1227,1227,146,34,714,15,906,901,623
111 6,276,276,48,48,1315,1315,131,152,943,165,1270,1270,748
111 7,459,425,89,20,1257,1257,84,14,836,21,1020,1020,736
111 8,539,359,35,19,1183,1183,53,43,824,35,1015,1010,733
111 9,595,264,71,25,1097,1097,18,109,899,103,1093,1085,809
111 10,514,131,112,0,989,989,267,139,1179,128,1153,1153,1067
111 11,570,221,20,0,1071,1071,89,105,989,95,1183,1176,899
111 12,543,179,40,1,1037,1037,160,114,1069,100,1181,1181,979
112 1,901,58,41,41,732,732,25,466,1051,454,837,837,837
112 2,927,202,110,47,576,576,121,661,1062,650,664,664,664
112 3,840,206,197,25,576,576,209,694,990,649,661,661,661
112 4,708,117,50,16,950,950,132,243,971,236,1060,1060,883
112 5,788,94,94,21,684,684,224,608,902,589,769,737,737
112 6,725,237,39,20,1046,1046,54,216,751,199,946,935,664
112 7,820,170,87,5,983,983,102,301,725,283,919,904,640
112 8,1021,250,38,29,526,526,49,677,1155,609,625,625,625
112 9,1053,330,33,25,468,468,18,702,1265,556,593,593,593
112 10,851,40,20,12,853,853,6,369,932,363,948,948,847
112 11,767,151,18,18,964,964,4,274,846,266,1041,1028,760
112 12,929,177,83,5,626,626,71,547,1177,533,751,751,751
113 1,810,553,360,1,195,195,195,1043,865,280,289,289,289
113 2,986,386,126,15,390,390,141,827,1087,465,480,480,480
113 3,937,627,186,16,152,152,152,958,1040,224,236,236,236
113 4,824,737,206,31,35,35,35,847,1064,110,120,120,120
113 5,729,228,228,19,530,530,342,785,859,609,617,614,614
113 6,940,278,130,10,500,500,141,733,1066,573,588,588,588
113 7,888,517,275,11,252,252,252,1012,956,328,335,335,335
113 8,1104,520,60,22,260,260,74,921,1189,361,380,380,380
113 9,835,222,210,12,558,558,221,714,978,632,644,644,644
113 10,849,371,260,19,403,403,275,868,948,479,487,487,487
113 11,614,390,390,20,327,327,327,1044,680,428,444,415,415
113 12,692,460,460,22,271,271,271,1074,752,369,380,380,380
114 1,584,584,295,154,154,154,68,667,1089,66,0,0,0
114 2,653,653,437,111,36,36,36,838,905,33,46,46,46
114 3,424,424,219,100,316,316,7,547,1158,221,0,0,0
114 4,533,533,527,104,71,71,71,900,799,106,116,116,116
114 5,391,391,391,26,180,180,180,906,807,208,195,195,195
114 6,480,480,345,52,210,210,57,700,1003,79,0,0,0
114 7,664,664,352,112,49,49,49,789,983,19,26,26,26
114 8,664,664,263,89,86,86,86,719,1082,10,0,0,0
114 9,602,602,559,31,106,106,106,1047,711,229,255,255,255
114 10,384,384,339,35,289,289,224,759,954,189,97,97,97
114 11,388,388,272,25,299,299,76,649,1048,151,0,0,0
114 12,588,588,473,36,92,92,80,825,888,15,39,39,39
135 1,474,358,358,26,1618,1618,49,425,639,260,268,268,268
135 2,165,165,165,66,1491,1491,204,605,501,523,364,364,144
135 3,238,238,238,81,1325,1325,192,682,392,197,0,0,0
135 4,538,353,353,18,1571,1571,205,382,690,148,187,187,187
135 5,318,318,318,26,1380,1380,196,603,473,123,64,64,64
135 6,618,302,302,29,1613,1613,255,305,772,194,242,242,242
135 7,170,170,170,33,1360,1360,135,739,325,321,90,90,7
135 8,72,72,72,72,1423,1423,279,662,463,599,417,417,53
135 9,389,389,389,3,1497,1497,117,527,541,178,152,152,152
135 10,567,207,207,19,1776,1776,0,275,793,382,408,408,408
135 11,429,355,355,18,1664,1664,8,423,648,338,306,306,298
135 12,121,121,121,65,1401,1401,178,704,398,492,298,298,95
136 1,1024,84,84,16,2017,2017,82,97,751,621,660,660,660
136 2,842,144,144,36,2105,2105,0,62,861,680,722,722,583
136 3,800,34,34,34,2011,2011,0,10,888,587,627,627,560
136 4,660,94,94,39,1880,1880,4,161,907,469,501,501,501
136 5,679,210,210,0,1708,1708,184,240,830,283,328,328,328
136 6,620,93,93,27,1916,1916,84,169,842,523,550,550,490
136 7,678,250,250,33,1662,1662,262,245,832,250,300,300,300
136 8,719,191,191,20,2199,2199,125,108,758,605,816,816,476
136 9,817,265,265,18,2206,2206,37,205,707,596,834,834,679
136 10,1018,27,27,0,1956,1956,97,71,766,580,603,603,603
136 11,663,141,141,0,1801,1801,61,205,860,381,417,417,417
136 12,778,148,148,0,1763,1763,162,143,930,355,404,404,404
137 1,663,182,182,8,2658,2658,3,669,462,153,816,816,556
137 2,585,338,338,29,2486,2486,60,443,647,315,739,739,475
137 3,936,406,406,32,2452,2452,276,566,304,378,1091,1091,827
137 4,1047,320,320,2,2519,2519,141,703,141,293,1200,1200,939
137 5,1037,442,442,128,2413,2413,267,572,267,414,1089,1089,928
137 6,963,402,402,87,2331,2331,287,446,408,499,984,984,854
137 7,803,398,398,49,2449,2449,143,500,432,368,958,958,694
137 8,627,242,242,43,2591,2591,0,583,523,215,782,782,518
137 9,957,335,335,7,2264,2264,257,366,488,561,913,913,843
137 10,867,384,384,12,2315,2315,172,377,506,501,959,959,753
137 11,1054,333,333,51,2266,2266,366,411,426,566,929,929,929
137 12,909,308,308,21,2551,2551,238,656,251,280,1063,1063,801
138 1,1163,17,17,17,2861,2861,98,1105,222,0,1187,926,670
138 2,929,66,66,18,2786,2786,226,898,228,38,1035,1035,804
138 3,1083,7,7,7,2812,2812,137,1016,167,0,1142,1024,735
138 4,1202,33,33,33,2766,2766,17,1039,148,6,1263,958,761
138 5,980,184,184,16,3120,3120,281,1209,489,216,894,894,503
138 6,1246,78,78,28,2913,2913,60,1191,300,61,1238,827,612
138 7,1140,91,91,41,2719,2719,46,961,73,64,1232,1043,817
138 8,734,4,4,4,2846,2846,71,878,428,0,841,841,603
138 9,824,157,157,17,3055,3055,215,1093,507,141,785,785,636
138 10,1088,56,56,24,2914,2914,188,1106,267,39,1097,962,633
138 11,790,37,37,18,2935,2935,148,977,432,22,832,832,647
138 12,796,86,86,21,2769,2769,143,826,339,60,934,934,674
139 1,1490,153,40,16,2739,2739,13,1570,550,404,1343,497,343
139 2,1256,89,89,18,2909,2909,222,1501,606,333,1066,742,215
139 3,1314,279,279,40,2795,2795,9,1707,367,93,1041,780,68
139 4,1155,34,34,17,2999,2999,200,1450,626,324,958,850,263
139 5,1398,257,54,54,2670,2670,7,1676,599,449,1328,473,245
139 6,1401,129,129,18,2803,2803,95,1546,653,423,1240,585,274
139 7,1256,109,109,16,2943,2943,70,1222,331,92,1233,803,581
139 8,1073,95,95,12,3116,3116,273,1294,521,279,956,911,415
139 9,1369,46,46,26,2863,2863,127,1466,578,333,1244,621,357
139 10,1340,230,230,14,2804,2804,75,1646,454,204,1089,711,64
139 11,1307,42,42,22,2959,2959,140,1355,466,226,1226,703,453
139 12,1072,23,23,23,3084,3084,168,1375,634,381,897,897,344
140 1,1230,374,343,95,2697,2697,58,1659,303,132,1131,713,13
140 2,977,630,278,54,2447,2447,157,1399,182,246,1335,660,0
140 3,1347,307,51,17,2627,2627,21,1685,563,437,1346,451,222
140 4,1107,574,32,19,2356,2356,138,1413,523,514,1547,321,275
140 5,1068,550,225,15,2500,2500,112,1473,254,285,1315,603,0
140 6,977,723,54,29,2205,2205,1,1261,560,450,1669,296,273
140 7,842,795,150,16,2242,2242,3,1218,347,219,1542,543,26
140 8,1089,504,332,105,2573,2573,149,1522,183,179,1217,706,60
140 9,866,750,255,45,2324,2324,104,1276,236,184,1431,635,13
140 10,1091,544,128,30,2462,2462,12,1464,350,370,1386,504,91
140 11,1030,629,28,0,2344,2344,54,1369,432,414,1513,410,184
140 12,1224,390,261,21,2649,2649,120,1632,338,214,1204,630,0
141 1,771,771,330,154,2279,2279,45,1204,226,72,1419,725,0
141 2,657,657,211,85,2112,2112,40,1056,314,57,1587,663,41
141 3,570,570,41,32,1947,1947,196,916,455,154,1763,619,202
141 4,529,529,161,32,2043,2043,111,954,252,35,1601,790,161
141 5,483,483,26,10,1847,1847,295,814,511,188,1847,667,301
141 6,632,632,263,101,2153,2153,37,1065,204,7,1507,767,78
141 7,759,759,212,103,2198,2198,17,1153,336,128,1536,615,0
141 8,335,335,24,24,1812,1812,192,729,445,145,1702,853,334
141 9,823,823,32,0,2142,2142,30,1149,482,286,1672,438,127
141 10,578,578,118,13,2017,2017,132,963,357,63,1670,674,133
141 11,664,664,67,13,1884,1884,290,921,664,373,1918,442,336
141 12,749,749,121,32,2125,2125,45,1105,436,191,1640,530,58
142 1,68,68,68,9,1409,1409,273,288,814,302,1471,1235,641
142 2,2,2,2,2,1336,1336,527,282,916,312,1634,1075,784
142 3,44,44,44,28,1573,1573,202,458,649,318,1514,1108,486
142 4,69,69,69,17,1532,1532,298,438,698,361,1605,1053,553
142 5,378,378,53,22,1708,1708,401,680,622,301,1877,731,440
142 6,282,282,10,10,1521,1521,550,523,817,330,1899,793,619
142 7,11,11,11,11,1374,1374,400,284,855,342,1609,1151,702
142 8,124,124,108,27,1399,1399,560,376,885,290,1743,950,747
142 9,116,116,116,0,1504,1504,396,438,746,414,1712,982,622
142 10,211,211,134,7,1709,1709,181,612,525,189,1622,956,397
142 11,393,393,120,21,1596,1596,567,620,800,381,2006,682,527
142 12,229,229,70,0,1616,1616,344,558,651,333,1753,883,539
143 1,180,180,180,50,1204,1204,441,105,1020,193,1436,1307,856
143 2,139,139,139,6,1164,1164,561,94,1069,256,1443,1255,919
143 3,30,30,30,8,1203,1203,641,167,1051,204,1536,1142,895
143 4,172,172,172,68,1305,1305,300,179,920,192,1446,1326,742
143 5,112,112,112,65,1286,1286,418,186,938,244,1516,1247,776
143 6,440,112,112,23,954,954,419,139,1270,168,1166,1166,1093
143 7,340,157,157,8,990,990,513,79,1236,225,1240,1240,1070
143 8,126,126,126,7,1053,1053,738,32,1204,71,1424,1238,949
143 9,251,251,251,36,1124,1124,447,24,1099,159,1356,1356,931
143 10,393,209,209,27,1056,1056,333,51,1172,55,1247,1247,991
143 11,208,177,177,26,966,966,744,36,1285,59,1339,1321,1015
143 12,329,311,182,33,1162,1162,276,23,1072,32,1340,1340,888
144 1,937,498,88,30,315,315,315,757,1617,493,609,609,609
144 2,679,203,203,16,608,608,385,463,1517,511,872,872,872
144 3,917,359,225,40,471,471,167,647,1417,577,656,656,656
144 4,669,110,110,17,713,713,330,390,1370,393,916,916,916
144 5,1026,348,79,12,461,461,48,699,1314,544,593,593,593
144 6,554,158,158,18,633,633,562,395,1598,396,991,991,991
144 7,762,309,258,15,501,501,376,566,1575,599,784,784,784
144 8,752,149,149,25,683,683,239,440,1300,431,856,856,856
144 9,846,431,127,16,376,376,376,681,1669,583,702,702,702
144 10,681,52,52,27,781,781,299,345,1247,335,948,948,948
144 11,562,120,120,16,682,682,501,369,1544,400,985,985,985
144 12,938,281,140,22,534,534,60,611,1297,600,681,681,681
145 1,893,893,135,3,124,124,18,642,1442,32,156,156,156
145 2,997,738,71,14,69,69,4,841,1352,150,230,230,230
145 3,1163,554,61,10,256,256,47,891,1338,340,406,406,406
145 4,1121,714,44,12,116,116,116,909,1480,244,360,360,360
145 5,909,733,39,12,44,44,44,827,1222,169,164,164,164
145 6,960,532,52,25,280,280,280,788,1626,469,588,588,588
145 7,854,854,38,10,73,73,20,674,1383,1,101,101,101
145 8,980,956,151,81,111,111,106,682,1429,121,266,266,266
145 9,1080,380,33,27,420,420,18,746,1274,507,547,547,547
145 10,954,875,150,86,36,36,36,728,1469,83,198,198,198
145 11,1150,630,12,12,186,186,120,932,1415,292,383,383,383
145 12,1048,877,210,88,33,33,33,762,1488,188,312,312,312
146 1,394,394,41,41,504,504,59,302,1056,430,0,0,0
146 2,694,694,23,18,272,272,151,475,1280,137,43,43,43
146 3,595,595,19,19,360,360,250,393,1194,236,43,43,43
146 4,327,327,114,20,424,424,3,472,1157,313,0,0,0
146 5,464,464,158,158,387,387,93,409,1173,313,0,0,0
146 6,510,510,96,96,420,420,176,344,1134,321,0,0,0
146 7,689,689,109,97,157,157,157,606,1261,113,0,0,0
146 8,548,548,132,111,302,302,148,477,1256,233,0,0,0
146 9,715,715,83,55,334,334,139,418,1220,124,131,131,131
146 10,576,576,209,150,207,207,143,591,1179,132,0,0,0
146 11,340,340,65,43,478,478,16,374,1089,390,0,0,0
146 12,570,570,52,52,618,618,294,142,935,305,185,185,185
147 1,99,99,31,6,667,667,205,406,939,523,185,185,185
147 2,224,224,13,13,597,597,81,338,979,484,69,69,69
147 3,254,254,254,9,910,910,231,300,670,752,351,351,75
147 4,195,195,7,7,556,556,103,428,1038,419,95,95,95
147 5,255,255,50,20,666,666,103,248,900,574,101,101,101
147 6,109,109,109,48,854,854,85,427,776,705,359,359,31
147 7,131,131,131,23,795,795,181,344,804,655,268,268,100
147 8,69,69,69,41,898,898,4,531,777,756,451,451,0
147 9,165,165,165,69,950,950,145,406,668,805,419,419,0
147 10,418,418,65,21,635,635,157,141,920,446,95,95,95
147 11,475,475,8,8,708,708,260,39,843,416,202,202,202
147 12,306,306,24,11,517,517,0,352,1050,428,0,0,0
167 1,288,288,288,66,1337,1337,207,635,447,135,23,23,23
167 2,247,247,247,151,1025,1025,154,776,548,375,0,0,0
167 3,283,283,283,134,1243,1243,78,656,483,152,0,0,0
167 4,411,411,411,68,1213,1213,9,588,688,240,10,10,10
167 5,387,387,387,33,1296,1296,38,560,595,83,0,0,0
167 6,501,470,470,24,1441,1441,182,435,677,48,84,84,84
167 7,290,290,290,135,1196,1196,44,663,525,178,0,0,0
167 8,317,317,317,146,1147,1147,51,670,599,249,48,0,0
167 9,222,222,222,222,1091,1091,133,751,505,284,0,0,0
167 10,548,373,373,62,1544,1544,266,376,704,122,169,169,169
167 11,408,408,408,34,1161,1161,0,623,679,323,18,1,1
167 12,369,369,369,32,1351,1351,127,562,544,48,0,0,0
168 1,788,187,187,4,1715,1715,214,142,950,341,360,360,360
168 2,1027,114,114,35,1786,1786,418,12,840,591,518,518,518
168 3,1112,27,27,16,1965,1965,288,144,693,659,648,648,648
168 4,757,290,290,16,1611,1611,358,196,946,310,287,287,287
168 5,836,214,214,0,1688,1688,314,115,977,385,367,367,367
168 6,1072,138,138,38,1743,1743,521,14,857,658,550,550,550
168 7,708,251,251,36,1656,1656,264,220,868,264,299,299,299
168 8,671,325,325,46,1576,1576,334,267,847,218,222,222,222
168 9,1058,31,31,15,1960,1960,177,106,728,611,618,618,618
168 10,971,53,53,6,1849,1849,215,11,825,518,515,515,515
168 11,904,247,247,21,1662,1662,458,99,903,488,388,388,388
168 12,1167,89,89,10,1789,1789,581,90,802,599,645,645,645
169 1,1099,441,427,100,2397,2397,236,598,236,414,1106,1106,991
169 2,1279,52,52,52,1959,1959,538,244,633,571,768,768,768
169 3,1153,338,338,88,2259,2259,373,463,373,557,967,967,967
169 4,1475,167,49,31,2139,2139,463,474,479,399,1018,1018,1018
